FECHA,CIERRE,MAX.DIA,MIN.DIA,VOLUMEN,IMPORTE,INDICE
 5/9/2019 ,41.61,42.43,41.04,"2,375,869","98,715,829",1255
 5/8/2019 ,43.04,43.75,41.9,"2,890,552","124,345,118",1254
 5/7/2019 ,42.43,42.97,42.07,"1,905,262","80,785,942",1253
 5/6/2019 ,43.03,43.6,42.04,"2,983,655","128,415,002",1252
 5/3/2019 ,42.89,43.33,42,"4,570,883","196,125,704",1251
 5/2/2019 ,42.59,42.9,41.55,"2,988,308","126,775,936",1250
 4/30/2019 ,42.22,42.5,40.43,"2,006,285","84,289,990",1249
 4/29/2019 ,41.8,42.38,41.32,"3,563,274","149,130,963",1248
 4/26/2019 ,42.09,42.29,41.39,"2,624,840","110,248,262",1247
 4/25/2019 ,41.64,41.76,40.78,"3,042,558","126,193,023",1246
 4/24/2019 ,41.15,41.7,40.38,"1,823,620","74,933,516",1245
 4/23/2019 ,40.67,40.95,40.04,"3,967,632","160,498,047",1244
 4/22/2019 ,40.52,40.99,40,"1,386,094","56,079,466",1243
 4/17/2019 ,40.52,41.34,39.81,"3,665,755","149,294,440",1242
 4/16/2019 ,40.46,40.88,40.07,"1,241,670","50,362,929",1241
 4/15/2019 ,40,40.4,39.52,"1,513,661","60,666,744",1240
 4/12/2019 ,40.28,40.99,39.97,"1,168,677","47,050,667",1239
 4/11/2019 ,40.66,41.35,40.04,"1,792,167","72,658,904",1238
 4/10/2019 ,41.41,41.76,40.9,"2,089,378","86,476,582",1237
 4/9/2019 ,40.97,41.86,40.5,"3,248,960","133,213,678",1236
 4/8/2019 ,41.97,42.39,41.1,"2,375,000","99,300,972",1235
 4/5/2019 ,42.11,42.43,41.03,"3,309,328","138,477,444",1234
 4/4/2019 ,41.21,41.48,40.5,"2,063,671","84,925,853",1233
 4/3/2019 ,40.61,41.59,40.5,"2,548,471","104,524,794",1232
 4/2/2019 ,40.73,41.04,40.5,"2,221,137","90,513,911",1231
 4/1/2019 ,41.15,41.6,40.89,"2,733,999","112,643,241",1230
 3/29/2019 ,40.58,40.78,40.4,"3,099,336","125,892,385",1229
